corr;corr20d;corr20dPercentile;corrMultiplier;corrPercentile;corrWMetamodel;fnc;fncPercentile;mmc;mmcMultiplier;mmcPercentile;payout;roundNumber;roundOpenTime;roundPayoutFactor;roundResolveTime;roundResolved;selectedStakeValue;username
-0.005266967;;;1;0.3934837;0.82788354;0.018230328;0.50232726;-0.002837205;0;0.3981382;0.0;271;07/03/2021 18:00:00;0.59124845;08/04/2021 20:00:00;True;0.0;empty_chariot
0.09858618;;;1;0.98717946;0.8390965;0.048067;0.96556056;0.018622935;0;0.9019608;0.0;256;03/20/2021 18:00:00;1;04/21/2021 20:00:00;True;0.0;empty_chariot
0.112007804;;;1;0.9940813;0.84282666;0.046922218;0.9655172;0.022180531;0;0.9114771;0.0;255;03/13/2021 18:00:00;1;04/14/2021 20:00:00;True;0.0;empty_chariot
0.09904519;;;1;0.68253535;0.8357901;0.013939863;0.6738303;0.009429607;0;0.5212187;0.0;254;03/06/2021 18:00:00;1;04/07/2021 20:00:00;True;0.0;empty_chariot
0.05197652;;;1;0.86787564;0.83466357;0.007035754;0.3074266;0.012782478;0;0.77115715;0.0;253;02/27/2021 18:00:00;1;03/31/2021 20:00:00;True;0.0;empty_chariot
0.030413793;;;1;0.7625987;0.839985;-0.016225237;0.40285367;0.012422321;0;0.73072255;0.0;252;02/20/2021 18:00:00;1;03/24/2021 20:00:00;True;0.0;empty_chariot
0.029224724;;;1;0.62175524;0.83306473;-0.009891696;0.51761436;0.007965166;0;0.5645859;0.0;251;02/13/2021 18:00:00;1;03/17/2021 20:00:00;True;0.0;empty_chariot
0.006705032;;;1;0.41071984;0.8320684;-0.031687584;0.097849794;-0.0008815098;0;0.39233407;0.0;250;02/06/2021 18:00:00;1;03/10/2021 20:00:00;True;0.0;empty_chariot
0.004019147;;;1;0.35436538;0.825232;-0.008477554;0.31511372;-0.006322522;0;0.3092443;0.0;249;01/30/2021 18:00:00;1;03/03/2021 20:00:00;True;0.0;empty_chariot
0.00074863434;;;;0.1613147;0.8304132;-0.010752324;0.088401966;-0.01381079;;0.07744616;;248;01/23/2021 18:00:00;1;02/24/2021 20:00:00;True;;empty_chariot
0.011802179;;;1;0.96124977;0.39753723;-0.012163319;0.13021469;0.019900918;0;0.93978006;0.0;276;08/07/2021 18:00:00;0.58732677;09/08/2021 20:00:00;False;0.0;gammarat28
0.020500882;;;1;0.97601414;0.37764153;0.0012837192;0.3522046;0.022197828;0;0.9737213;0.0;275;07/31/2021 18:00:00;0.5874242;09/01/2021 20:00:00;False;0.0;gammarat28
0.007882252;;;1;0.82654834;0.37375766;-0.0022079833;0.13970077;0.008774819;0;0.7992345;0.0;274;07/24/2021 18:00:00;0.56638926;08/25/2021 20:00:00;False;0.0;gammarat28
0.012966757;;;1;0.56029844;0.35446447;0.016203733;0.75550926;0.006150126;0;0.7509977;0.0;273;07/17/2021 18:00:00;0.56025916;08/18/2021 20:00:00;True;0.0;gammarat28
0.010011354;;;1;0.9128801;0.3872296;0.020447174;0.9259392;0.010580155;0;0.8844365;0.0;272;07/10/2021 18:00:00;0.5736188;08/11/2021 20:00:00;True;0.0;gammarat28
-0.02123305;;;1;0.63676035;0.17751291;-0.020561386;0.04224123;-0.011653511;0;0.14208414;;276;08/07/2021 18:00:00;0.58732677;09/08/2021 20:00:00;False;0.0;rencilbooting
-0.0236599;;;1;0.24462081;0.13684033;-0.008842917;0.13703704;-0.016046422;0;0.07425044;;275;07/31/2021 18:00:00;0.5874242;09/01/2021 20:00:00;False;0.0;rencilbooting
-0.00051142805;;;1;0.68597776;0.8961427;0.035553813;0.97668755;0.0060383505;0;0.73625606;;274;07/24/2021 18:00:00;0.56638926;08/25/2021 20:00:00;False;0.0;rencilbooting
0.015094131;;;1;0.6428943;0.89685124;0.017315475;0.8009717;0.0016965339;0;0.5689745;;273;07/17/2021 18:00:00;0.56025916;08/18/2021 20:00:00;True;0.0;rencilbooting
-0.0123955505;;;1;0.3309481;0.89546037;0.011087015;0.70912343;-0.0030277283;0;0.37334526;;272;07/10/2021 18:00:00;0.5736188;08/11/2021 20:00:00;True;0.0;rencilbooting
0.0024793202;;;1;0.64554244;0.89274395;0.032411613;0.9106695;0.0032522313;0;0.6639814;;271;07/03/2021 18:00:00;0.59124845;08/04/2021 20:00:00;True;0.0;rencilbooting
-6.3634725E-05;;;1;0.67761624;0.68093383;0.0032451053;0.4370849;0.0056173657;0;0.6910788;;270;06/26/2021 18:00:00;0.6174959;07/28/2021 20:00:00;True;0.0;rencilbooting
0.003357583;;;1;0.111846946;0.6822125;-0.009967816;0.08517292;-0.011543772;0;0.06089036;;269;06/19/2021 18:00:00;0.6600065;07/21/2021 20:00:00;True;0.0;rencilbooting
0.02612305;;;1;0.21061422;0.680549;0.0035054595;0.20077936;-0.012128205;0;0.08925589;;268;06/12/2021 18:00:00;0.7052184;07/14/2021 20:00:00;True;0.0;rencilbooting
0.03821962;;;1;0.46715328;0.7149454;0.020681584;0.59797865;0.0008024856;0;0.43234137;0.0;267;06/05/2021 18:00:00;0.7257179;07/07/2021 20:00:00;True;0.0;rencilbooting
0.06933708;;;1;0.88789403;0.7114703;0.04330806;0.9371386;0.016579071;0;0.91214323;0.0;266;05/29/2021 18:00:00;0.7444471;06/30/2021 20:00:00;True;0.0;rencilbooting
0.035558775;;;1;0.57327104;0.70295346;0.01652821;0.48616824;0.0029821151;0;0.6573832;0.0;265;05/22/2021 18:00:00;0.765288;06/23/2021 20:00:00;True;0.0;rencilbooting
0.027858527;;;1;0.18877076;0.68050903;0.0002966464;0.098116025;-0.014019544;0;0.07554561;0.0;266;05/29/2021 18:00:00;0.7444471;06/30/2021 20:00:00;True;0.0;model_y
-0.0012475514;;;1;0.050093457;0.68743163;-0.007468692;0.062616825;-0.024972301;0;0.011401869;;265;05/22/2021 18:00:00;0.765288;06/23/2021 20:00:00;True;0.0;model_y
0.01432046;;;1;0.14022855;0.6625044;-0.011264321;0.092000775;-0.021251295;0;0.05442572;0.0;264;05/15/2021 18:00:00;0.766051;06/16/2021 20:00:00;True;0.0;model_y
0.016235637;;;1;0.3951965;0.6771381;-0.023308353;0.01647479;-9.212794E-06;0;0.40889242;0.0;262;05/01/2021 18:00:00;0.8058553;06/02/2021 20:00:00;True;0.0;model_y
-0.0014669728;;;1;0.72971326;0.6766714;-0.014161361;0.04148871;0.008641098;0;0.75432175;0.0;261;04/24/2021 18:00:00;0.82797134;05/26/2021 20:00:00;True;0.0;model_y
